url,versionsDB,versionsJSON,versions
http://data.stadt-salzburg.at/geodaten/wfs?service=WFS&version=1.1.0&request=GetFeature&srsName=urn:x-ogc:def:crs:EPSG:4326&outputFormat=csv&typeName=ogdsbg:radinformation,73,0,0
http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:stednavn_flade&outputFormat=csv&SRSNAME=EPSG:4326,73,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SCHULEOGD&srsName=EPSG:4326&outputFormat=csv,73,0,0
http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:erhv_gravetilladelser_aktiv&outputFormat=csv&SRSNAME=EPSG:4326,72,0,0
http://www.bibsonomy.org/csv/,72,77,63
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:PARKANLAGEOGD&srsName=EPSG:4326&outputFormat=csv,72,0,0
http://datosabiertos.malaga.eu/recursos/transporte/EMT/estacionamientos/Estacionamientos.csv,71,74,66
http://local.direct.gov.uk/Data/local_authority_service_details.csv,71,98,62
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12421-0001.csv,71,95,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:WOHNPFLEGEHAUSOGD&srsName=EPSG:4326&outputFormat=csv,69,0,0
http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:erhv_raaden_over_vej_aktiv&outputFormat=csv&SRSNAME=EPSG:4326,68,0,0
http://wfs-kbhkort.kk.dk/k101/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=k101:stednavn_punkt&outputFormat=csv&SRSNAME=EPSG:4326,67,0,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/13321-0004.csv,66,94,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:OEFFGRUENFLOGD&srsName=EPSG:4326&outputFormat=csv,66,0,0
http://www.ipeadata.gov.br/ExibeSerie.aspx?module=M&serid=38593&oper=exportCSVUS,66,0,0
http://chargepoints.dft.gov.uk/api/retrieve/registry/format/csv,66,74,62
https://www-genesis.destatis.de/genesis/online?sequenz=tabelleDownload&selectionname=44252-0001&regionalschluessel=&format=csv,66,0,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/32531-0002.csv,64,93,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12411-0005.csv,63,93,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12111-0004.csv,63,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0002.csv,63,94,0
http://www.salford.gov.uk/geoserver/OpenData/ows?service=wfs&version=2.0.0&request=GetFeature&typeName=OpenData:v_polling_stations&outputFormat=csv,63,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:KUNSTWERKOGD&srsName=EPSG:4326&outputFormat=csv,63,0,0
