folder,sizeOriginal,sizeDaff,evolution,patch,quality,sameHeader
6261,151935,35983,123,213,106,0
6263,2822978,241323,6286,13348,7076,1
6267,495493,239559,1848,251,816,0
6271,379246,176005,636,159,286,0
6272,141990,60772,318,28,166,0
6273,705705,708251,2952,1979,2271,1
6274,282877,103391,617,43,288,0
6275,266565,151340,331,81,182,0
6282,3599920,2144772,9479,4476,2591,0
6283,390427,173504,623,172,311,0
6290,118720,71887,215,87,146,0
6294,261784,101642,697,43,335,0
6297,3861072,818230,14103,8707,6892,0
6298,325758,109560,619,45,356,0
6299,403774,123809,517,104,245,0
6300,249935,101878,461,47,235,0
6301,235792,68632,713,33,364,0
6305,616841,239143,993,146,456,0
6308,883104,504973,1018,423,450,0
6309,702461,231414,868,203,363,0
6316,460353,142214,791,63,364,0
6321,357271,178165,937,152,511,0
6326,553347,261524,1031,204,467,0
6329,1361121,120678,1028,3907,1019,0
6335,154142,54996,252,31,92,0
6337,260667,119692,647,57,311,0
6343,1894907,240189,1171,14584,884,1
6345,4894409,1450134,22875,10003,9208,0
6347,905706,662554,2519,4099,348,1
6348,345449,63057,144,542,106,0
6353,713372,289218,986,220,498,0
6356,252493,61640,113,277,72,0
6358,543422,168692,672,66,255,0
6360,27431,5646,15,15,15,0
6362,139905,35628,65,127,40,0
6365,226824,78698,233,40,128,0
6367,1558609,750455,3944,819,1491,0
6370,365612,162272,502,125,247,0
6372,556027,301215,1021,197,470,0
6374,2396493,1939003,18169,24110,2112,0
6377,371992,145238,625,100,305,0
6378,122528,47514,76,153,60,0
6381,1469148,379322,1373,411,617,0
6382,359317,65851,283,125,272,0
6391,1722056,348944,3220,29280,2282,1
6393,469267,148191,465,93,254,0
6400,638799,67753,653,226,350,0
6402,241853,104656,843,131,476,0
6403,14481,9525,20,17,13,0
6406,333974,162875,1106,161,512,0
6407,469640,130746,778,219,388,0
6408,610003,275357,531,169,246,0
6409,1710952,367164,3496,27841,1737,1
6410,4786980,896438,19067,125515,5786,1
6416,274078,98696,785,117,366,0
6417,8377,1646,12,10,12,1
6423,227109,102154,620,55,305,0
6427,200271,55752,475,44,247,0
6428,474515,217194,1130,184,494,0
6429,334387,133644,815,66,437,0
6434,435500,185363,1002,161,460,0
6436,1394895,423297,1356,315,613,0
