folder,class,cells
7055,irregular,24
7057,irregular,24
7059,irregular,24
7061,irregular,24
7067,irregular,24
7071,irregular,504
7072,irregular,23
7074,irregular,12
7075,rows,88
7077,irregular,24
7080,irregular,39
7081,irregular,24
7085,irregular,24
7087,irregular,23
7089,irregular,1645
7093,schema,100
7095,irregular,24
7096,irregular,85
7097,irregular,630
7101,irregular,24
7103,irregular,23
7104,rows,2196
7116,irregular,24
7120,irregular,24
7121,irregular,205
7127,schema,16786
7131,schema,5656
7135,irregular,24
7139,irregular,23
7144,irregular,24
7145,irregular,23
7146,irregular,24
7157,irregular,76
7158,irregular,378
7162,irregular,89
7164,irregular,522
7165,irregular,576
7166,irregular,24
7174,irregular,85
7181,irregular,23
7182,schema,36504
7183,irregular,301
7184,schema,4484
7190,irregular,24
7193,irregular,24
7194,irregular,24
7195,irregular,24
7196,irregular,2916
7197,schema,50
7200,irregular,23
7201,irregular,24
7204,irregular,24
7209,irregular,23
7211,irregular,24
7215,irregular,223
7217,irregular,24
7218,irregular,24
7219,irregular,6951
7222,irregular,24
7225,irregular,23
7226,irregular,21
7227,irregular,77
7230,irregular,24
7232,irregular,24
7237,irregular,558
7238,irregular,24
7241,irregular,24
7243,irregular,24
7249,schema,7000
7257,irregular,22
7265,irregular,1440
7267,irregular,24
7271,irregular,23
7274,irregular,24
7279,irregular,10
7280,irregular,91
7284,irregular,24
7285,irregular,24
7287,irregular,1908
