folder,intersection,union,average
5155,0,260,12
5161,0,260,12
5166,0,375,17
5169,0,260,12
5171,0,9093,505
5174,0,260,11
5178,0,260,12
5180,0,260,11
5204,0,260,10
5208,0,260,11
5210,0,260,11
5225,307,765,45
5235,0,260,11
5236,29,1134,66
5239,0,260,11
5243,0,2211,130
5256,117,145,8
5257,179,179,11
5260,203,1066,62
5262,0,260,10
5266,0,260,11
5270,0,260,11
5272,0,260,13
5273,0,260,11
5280,0,4425,260
5292,0,260,13
5306,10,1471,77
5309,9,1588,88
5318,0,260,13
5329,0,260,11
5331,0,260,11
5335,0,260,12
5352,28,1710,106
5361,11,2173,127
5362,0,260,11
5365,0,260,11
5370,29,1424,89
5379,11,1971,131
5380,0,260,13
5384,0,260,10
5394,0,260,12
5396,0,260,11
5397,0,260,13
5402,0,260,12
5422,0,260,11
5432,0,260,10
5446,0,566,35
5447,0,260,11
5450,0,260,13
5459,0,260,12
5460,0,260,11
5470,0,260,13
5473,0,260,12
5475,0,260,13
5478,0,260,12
5482,0,260,11
5483,0,260,11
5486,0,260,11
5504,0,260,10
5507,0,260,11
5515,0,260,10
5517,0,260,11
5519,0,260,12
5527,0,260,12
5530,0,260,13
5531,0,260,13
5535,0,260,10
5536,0,260,12
5540,422,908,53
5557,0,260,12
5561,0,260,12
5567,0,260,13
5578,0,260,15
5597,0,260,12
5612,0,260,12
5615,0,260,14
5621,30,1653,110
5626,0,260,10
5627,28,1538,102
5633,3,1818,113
5634,10,2327,145
5637,0,260,14
5640,0,260,12
5647,0,260,12
5648,1,1861,132
5661,0,260,13
5666,0,260,14
5669,0,260,11
5671,0,260,11
5672,27,1455,97
5680,220,616,41
5683,0,260,13
5684,0,346,15
5685,13,1978,123
5689,30,1000,66
5692,0,260,15
5696,0,260,13
5703,0,260,11
5705,0,260,11
5706,0,260,12
5709,0,260,10
5712,0,260,13
5715,0,0,0
5718,0,260,11
5719,0,260,14
5721,0,260,13
5723,0,260,13
5724,0,260,12
5725,0,260,15
5728,0,260,14
5736,0,260,12
5738,0,260,11
5739,11,5290,330
5740,0,260,13
5743,0,12,1
5744,84,416,29
5746,0,260,13
5756,0,260,16
5757,0,260,13
5764,0,260,15
5767,0,260,14
5773,12,1832,140
5774,0,260,14
5782,0,260,17
5785,0,260,11
5787,0,260,10
5789,37,375,26
5792,0,260,12
5794,0,260,12
5809,0,260,12
5812,0,260,13
5813,10,2286,163
5817,0,260,12
5818,0,260,16
5820,22,165,8
5837,0,260,14
5845,0,260,13
5847,0,1388,99
5848,0,260,13
5852,0,260,13
5853,7,2264,161
5875,0,260,13
5880,136,761,54
5883,0,260,13
5894,0,260,14
5903,0,260,14
5907,0,260,11
5923,9,1709,113
5927,0,260,14
5928,0,260,12
5932,0,260,13
5933,5,13,0
5935,0,260,12
5940,0,260,13
5945,0,260,13
5951,0,260,14
5953,8,2646,189
5958,0,260,13
5961,12,2252,173
5962,0,260,13
5964,0,260,11
5969,0,260,13
5970,0,260,15
5974,0,1690,130
5987,0,260,14
5990,0,260,12
5995,0,260,13
6003,0,260,14
6006,0,260,14
6009,0,260,14
6013,0,260,13
6014,0,260,16
6015,0,260,14
6019,28,38,2
6022,0,260,15
6023,0,260,14
6025,0,260,14
6026,43,53,4
6029,0,260,14
6031,6,1001,71
6042,0,260,14
6045,0,260,13
6047,0,260,13
6051,6,927,71
6054,0,260,13
6058,0,260,16
6059,1,1684,140
6060,0,0,0
6064,0,260,12
6066,5,1584,121
6070,0,260,11
6071,0,260,13
6073,0,260,13
6076,0,5236,402
6079,0,260,15
6088,0,260,14
6091,0,12,0
6092,0,260,13
6095,0,260,14
6099,32,1248,96
6103,0,260,16
6105,116,2965,228
6113,0,260,11
6115,0,260,13
6117,0,260,13
6122,0,260,12
6125,0,260,17
6134,0,3083,237
6140,0,260,14
6143,0,260,13
6144,8,854,71
6145,30,2378,198
6146,0,4249,326
6151,12,1486,123
6154,0,260,14
6157,0,260,16
6161,0,260,15
6162,0,260,14
6166,0,260,13
6169,0,260,13
6171,0,0,0
6172,0,260,15
6173,26,1200,92
6176,0,260,15
6177,0,260,14
6178,0,438,36
6187,0,260,15
6201,0,260,14
6202,317,373,31
6203,0,260,14
6205,0,260,13
6206,0,260,11
6208,0,260,20
6210,0,0,0
6212,0,260,17
6214,271,581,52
6216,0,260,12
6218,0,260,16
6222,0,260,15
6223,0,260,12
6226,0,1028,85
6228,29,1535,127
6229,12,1719,114
6237,0,260,13
6240,0,260,13
6245,0,427,19
6255,0,260,15
6256,589,603,50
6257,0,260,14
6259,11,961,80
6261,12,1549,110
6263,102,1347,112
6267,0,260,11
6271,0,260,14
6272,0,260,16
6273,0,4,0
6274,0,260,13
6275,0,260,16
6282,0,260,15
