"folder";"sizeOriginal";"sizeDaff";"evolution";"patch";"quality"
5684;858479;329983;1046;178;488
5685;177543;42180;77;131;50
5689;544621;87666;281;1164;150
5692;126208;59011;150;85;119
5696;196795;88582;354;91;214
5703;559537;302004;932;145;404
5705;307202;121917;657;133;346
5706;2611098;594266;2270;414;1081
5709;1348382;518409;1814;310;801
5712;414385;217030;717;123;305
5715;292930;42390;259;556;248
5718;218622;72215;496;36;244
5719;110782;40286;145;29;77
5721;432179;175138;453;141;224
5723;158605;31765;304;21;123
5724;251200;103531;365;65;213
5725;179468;41297;189;35;115
5728;587909;190120;430;140;227
5736;451422;198077;717;122;324
5738;286287;100143;621;40;307
5739;169207;41456;88;112;53
5740;753310;172555;701;164;383
5743;611372;243810;1085;2161;246
5744;853006;223506;311;1278;172
5746;690725;273206;765;166;370
5756;118975;45630;225;29;119
5757;567336;303375;955;204;351
5764;192830;56618;285;37;149
5767;164387;64561;293;32;153
5773;1069803;170381;781;5159;420
5774;190295;75420;309;34;151
5782;315797;48724;346;34;137
5785;551107;284900;1017;229;462
5787;377420;133716;985;62;452
5789;846133;179385;274;1238;175
5792;384049;213069;614;72;318
5794;263270;83006;726;61;341
5809;283883;96730;532;45;257
5812;336746;86906;1083;45;567
5813;383599;76278;154;587;107
5817;654788;325063;1030;208;420
5818;280622;67855;284;35;139
5820;114296;18191;63;60;38
5837;418895;143961;600;110;285
5845;432857;261878;818;126;391
5847;606440;443503;623;934;157
5848;454684;231015;820;121;369
5852;186127;74760;457;34;256
5853;141724;118688;91;53;65
5875;401173;164866;664;111;341
5880;801776;303201;557;1479;178
5883;487668;275343;797;136;335
5894;10106054;3476297;47992;30897;19803
5903;231238;88943;474;102;248
5907;324810;106503;700;101;365
5923;77101;20548;37;37;24
5927;419505;167337;498;169;261
5928;215995;88231;406;60;215
5932;491348;230043;824;198;393
5933;3837;5616;12;9;7
5935;845996;373539;1139;231;498
5940;450316;231975;685;125;291
5945;2505372;1021886;5171;1467;2202
5951;970568;312874;965;277;490
5953;3579671;538205;5916;84298;2356
5958;461042;213092;691;142;314
5961;117361;36391;52;83;34
5962;1909347;521435;2594;804;988
5964;712844;407799;1129;250;511
5969;285774;129533;641;131;393
5970;637164;174539;540;85;301
5974;6950656;1333883;14399;122705;3796
5987;477204;326119;924;163;388
5990;767404;176338;1104;191;595
5995;306413;123786;575;70;303
6003;390818;212741;707;166;331
6006;673053;290050;716;148;323
6009;1258413;426999;1818;620;786
6013;561345;227217;766;153;363
