file,versions,size,average
5269,17,642552,37797.17647
5270,23,212643,9245.347826
5271,27,2517907,93255.81481
5272,20,216192,10809.6
5273,22,789191,35872.31818
5280,17,418151,24597.11765
5292,19,659541,34712.68421
5295,30,5635285,187842.8333
5306,19,384081,20214.78947
5309,18,285237,15846.5
5318,19,48688,2562.526316
5329,23,2344160,101920
5331,22,484839,22038.13636
5335,21,211240,10059.04762
5347,12,1159492,96624.33333
5348,27,4717331,174715.963
5352,16,550159,34384.9375
5354,16,101210120,6325632.525000000
5361,17,659995,38823.23529
5362,23,537366,23363.73913
5365,23,645135,28049.34783
5368,26,6397467,246056.4231
5370,16,506020,31626.25
5371,24,19911099,829629.125
5377,13,21683465,1667958.846
5379,15,2480454,165363.6
5380,20,213132,10656.6
5384,25,320198,12807.92
5391,26,2123952,81690.46154
5394,21,225674,10746.38095
5396,22,191798,8718.090909
5397,20,163986,8199.3
5402,21,200633,9553.952381
5403,29,2579425,88945.68966
5422,22,901927,40996.68182
5423,20,12223408,611170.4
5429,23,2332735,101423.2609
5431,18,4543075,252393.0556
5432,25,353193,14127.72
5441,31,7284546,234985.3548
5446,16,77627,4851.6875
5447,22,2032431,92383.22727
5450,20,351442,17572.1
5451,16,1247592,77974.5
5459,21,739863,35231.57143
5460,23,484083,21047.08696
5461,27,2080073,77039.74074
5470,20,437788,21889.4
5473,21,460744,21940.19048
5475,19,432306,22752.94737
5478,21,765075,36432.14286
5482,23,275860,11993.91304
5483,23,272160,11833.04348
5486,22,447344,20333.81818
5490,30,515052,17168.4
5499,29,2365923,81583.55172
5504,24,1265316,52721.5
5505,17,29847411,1755730.059
5507,23,246923,10735.78261
5515,25,345613,13824.52
5517,23,263649,11463
5519,21,227217,10819.85714
5520,10,537977,53797.7
5526,33,7282170,220671.8182
5527,21,461049,21954.71429
5530,20,536096,26804.8
5531,20,217041,10852.05
5535,24,683001,28458.375
5536,21,232039,11049.47619
5540,17,6165995,362705.5882
5544,45,2285761,50794.68889
5557,21,506821,24134.33333
5561,21,274631,13077.66667
5567,20,490979,24548.95
5575,15,1258022,83868.13333
5576,27,5226989,193592.1852
5578,17,399814,23518.47059
5586,24,5679261,236635.875
5597,21,256832,12230.09524
5609,29,7512407,259048.5172
5612,21,542263,25822.04762
5615,18,197394,10966.33333
5621,15,853843,56922.86667
5626,26,404121,15543.11538
5627,15,924136,61609.06667
5631,31,13311831,429413.9032
5633,16,431818,26988.625
5634,16,481048,30065.5
5637,18,382021,21223.38889
5638,30,10732556,357751.8667
5640,21,2200486,104785.0476
5647,21,290866,13850.7619
5648,14,104482,7463
5653,29,2550982,87964.89655
5655,15,3512423,234161.5333
5661,20,180197,9009.85
5665,15,53860401,3590693.425000000
5666,18,184473,10248.5
5669,22,232221,10555.5
5671,22,526353,23925.13636
5672,15,465543,31036.2
5680,15,383678,25578.53333
5683,19,674111,35479.52632
5684,22,858479,39021.77273
5685,16,177543,11096.4375
5689,15,544621,36308.06667
5692,17,126208,7424
5696,19,196795,10357.63158
5703,23,559537,24327.69565
5705,22,307202,13963.72727
5706,21,2611098,124338
5709,24,1348382,56182.58333
5712,20,414385,20719.25
5715,11,292930,26630
5718,22,218622,9937.363636
5719,18,110782,6154.555556
5721,19,432179,22746.26316
5723,19,158605,8347.631579
5724,21,251200,11961.90476
5725,17,179468,10556.94118
5728,18,587909,32661.61111
5736,21,451422,21496.28571
5738,23,286287,12447.26087
5739,16,169207,10575.4375
5740,19,753310,39647.89474
5743,12,611372,50947.66667
5744,14,853006,60929
5746,20,690725,34536.25
5749,30,2417525,80584.16667
5752,15,3527528,235168.5333
5756,16,118975,7435.9375
5757,20,567336,28366.8
5758,38,1777079,46765.23684
5762,14,1840539,131467.0714
5764,17,192830,11342.94118
5766,14,333389,23813.5
5767,18,164387,9132.611111
5770,15,156964,10464.26667
5773,13,1069803,82292.53846
5774,18,190295,10571.94444
5780,28,24556390,877013.9286
5781,14,10153030,725216.4286
5782,15,315797,21053.13333
5785,22,551107,25050.31818
5787,24,377420,15725.83333
5789,14,846133,60438.07143
5792,21,384049,18288.04762
5794,21,263270,12536.66667
5809,21,283883,13518.2381
5812,20,336746,16837.3
5813,14,383599,27399.92857
5817,21,654788,31180.38095
5818,16,280622,17538.875
5820,19,114296,6015.578947
5834,16,73815983,4613498.93825000000
5837,18,418895,23271.94444
5841,12,2941519,245126.5833
5845,20,432857,21642.85
5846,15,92269058,6151270.53325000000
5847,14,606440,43317.14286
5848,19,454684,23930.73684
5852,19,186127,9796.157895
5853,14,141724,10123.14286
5865,25,1504053,60162.12
5868,32,8561381,267543.1563
5875,19,401173,21114.36842
5879,15,103212232,6880815.46725000000
5880,14,801776,57269.71429
5881,12,1067938,88994.83333
5883,20,487668,24383.4
5894,18,10106054,561447.4444
5902,13,30182591,2321737.769
5903,18,231238,12846.55556
5904,32,1444050,45126.5625
5907,22,324810,14764.09091
5923,15,77101,5140.066667
5924,27,10403131,385301.1481
5927,18,419505,23305.83333
5928,21,215995,10285.47619
5929,15,35521152,2368076.8
5932,20,491348,24567.4
5933,16,3837,239.8125
5935,21,845996,40285.52381
5940,19,450316,23700.84211
5945,19,2505372,131861.6842
5946,22,613095,27867.95455
