folder,sizeOriginal,sizeDaff,evolution,patch,quality,numberOfVersions,originalRows,originalColumns,addedRows,deletedRows,modifiedRows,addedColumns,deletedColumns,modifiedColumns,totalChanged,changedCells,sizeZip,sizeZipDaff
4771,976767,732204,2759,915,1100,24,1347,1,0.212045286,0.212045286,0,0.416666667,0.416666667,0,5361240,165.8389013,196394,129439
4772,300294,153258,604,135,251,23,464,1,0.104291604,0.14552099,0,0.217391304,0.217391304,0,1741000,163.1371814,107667,47294
4780,98181,82608,417,132,271,24,24,1,0.737847222,0.630208333,0,0.291666667,0.291666667,0,274214,476.0659722,40909,30908
4797,248938,16108,228,105,140,19,456,1,0.002077562,0.002077562,0,0,0,0,36,0.004155125,80819,5604
4810,44068,62371,311,30,154,24,21,1,0.367063492,0.367063492,0,0.333333333,0.333333333,0,135154,268.1626984,21506,27001
4826,293404,169224,815,166,449,24,454,1,0.135921439,0.135921439,0,0.25,0.25,0,755668,69.35279001,102157,51111
4850,424181,180906,734,180,426,21,466,1,0.115062334,0.115062334,0,0.19047619,0.19047619,0,2056128,210.1091355,181833,63984
4856,55350,66408,473,36,226,26,21,1,0.318681319,0.313186813,0,0.269230769,0.269230769,0,134212,245.8095238,25793,27490
4872,284903,168274,715,142,338,22,464,1,0.148217085,0.148217085,0,0.272727273,0.272727273,0,2838128,278.0297806,102059,51380
4875,29919,31161,153,22,83,21,28,1,0.193877551,0.193877551,0,0.19047619,0.19047619,0,50402,85.71768707,16960,15723
4876,360823,172438,9756,462,4857,24,165,1,0.16010101,0.153787879,0,0.25,0.25,0,414631,104.704798,45791,31474
4901,291540,229253,709,155,379,24,468,1,0.187856125,0.187856125,0,0.333333333,0.333333333,0,2429427,216.2951389,102310,68162
4906,39721,33727,442,23,213,20,27,1,0.207407407,0.207407407,0,0.2,0.2,0,48398,89.62592593,19729,15939
4929,307983,222399,774,145,440,24,456,1,0.176352339,0.176352339,0,0.333333333,0.333333333,0,1562773,142.7972405,113125,69192
4957,50857,42119,203,29,123,21,72,1,0.134920635,0.134920635,0,0.19047619,0.19047619,0,55502,36.70767196,24722,18810
4958,50097,45641,387,29,160,23,38,1,0.171624714,0.171624714,0,0.173913043,0.173913043,0,72742,83.22883295,26262,20101
4969,776794,626610,1962,640,726,23,1161,1,0.221997528,0.221997528,0,0.434782609,0.434782609,0,4175348,156.3625061,175696,122806
4970,96424,8057,36,68,32,18,116,5,0.012452107,0,0,0,0,0,130,0.012452107,23793,4742
4985,279920,206598,789,141,423,23,454,1,0.18425589,0.18425589,0,0.347826087,0.347826087,0,1410214,135.0520973,97577,62009
4992,261692,162380,1296,325,728,18,11,12,0.01010101,0.03030303,0.202020202,0,0,0,151,0.063552189,57908,30230
4996,32710,13280,174,17,46,19,38,1,0.069252078,0.088642659,0,0.052631579,0.052631579,0,7982,11.05540166,18985,8734
5007,156607,102180,426,65,224,22,200,1,0.154545455,0.154545455,0,0.272727273,0.272727273,0,352684,80.15545455,47989,31583
5010,1393865,1089612,4737,2214,1269,24,2634,1,0.210247406,0.210247406,0,0.416666667,0.416666667,0,8052470,127.3802518,414076,247394
5022,1547305,216514,888,7899,584,16,710,18,0.006690141,8.80E-05,0.072359155,0.006944444,0,0,1707930,8.352552817,500539,43626
5031,11419589,1241150,44620,450623,16178,18,3881,18,9.73E-04,1.43E-05,0.013212517,0.00617284,0,0,17950296,14.27522498,3227864,204618
5036,142825,119766,1415,86,674,24,133,1,0.199561404,0.199561404,0,0.333333333,0.333333333,0,394038,123.4454887,40943,35780
5051,25434,19619,24,16,16,18,12,9,0,0,0,0.160493827,0.160493827,0,1053108,541.7222222,16799,13494
5056,67617,66431,493,38,236,23,76,1,0.180778032,0.180778032,0,0.260869565,0.260869565,0,208343,119.1893593,30435,26582
5062,45791,39662,250,26,131,22,35,1,0.17012987,0.17012987,0,0.181818182,0.181818182,0,63714,82.74545455,19687,17158
5069,286219,167505,600,141,335,23,468,1,0.138238573,0.138238573,0,0.260869565,0.260869565,0,797365,74.07701598,99801,50329
5071,241874,39350,275,97,210,19,456,1,0.004732225,0.054593721,0,0.052631579,0.052631579,0,51120,5.900277008,78756,11988
5074,47712,61349,316,29,168,23,27,1,0.333333333,0.333333333,0,0.347826087,0.347826087,0,156882,252.6280193,24041,26795
5079,2348743,267744,2075,15249,899,18,811,18,1.37E-04,1.37E-04,0.014796547,0.00617284,0,0,834660,3.176462529,747744,52335
5081,43963,51582,269,89,178,22,24,1,0.272727273,0.265151515,0,0.227272727,0.227272727,0,74255,140.6344697,21836,20465
5082,81098,105032,545,44,261,25,74,1,0.278378378,0.305405405,0,0.44,0.44,0,526144,284.4021622,36945,41425
5088,145558,97865,302,45,142,21,132,1,0.173520924,0.212481962,0,0.142857143,0.142857143,0,498382,179.7914863,59370,34477
5091,56438,73687,516,34,258,23,38,1,0.294050343,0.294050343,0,0.347826087,0.347826087,0,220803,252.6350114,28280,30547
5118,10155823,1536880,18242,180254,5515,19,1056,36,0.0039374,0.004635167,0.110596093,0,0,0,8126,0.011250111,682676,91498
5126,27730,25930,248,20,127,21,13,1,0.212454212,0.212454212,0,0.095238095,0.095238095,0,15248,55.85347985,15230,12885
5136,1004658,349590,2046,842,1000,20,1349,1,0.102112676,0.102112676,0,0.2,0.2,0,656274,24.32446256,240912,68211
5143,149019,58763,56,42,38,17,126,5,9.34E-04,0,0.052287582,0,0,0,208,0.019421102,58861,23978
5145,2744563,166772,2848,5734,2685,17,3818,1,8.78E-04,0,0,0,0,0,57,8.78E-04,590021,5620
5151,60212,55871,337,35,129,22,72,1,0.14520202,0.175505051,0,0.227272727,0.227272727,0,112982,71.3270202,28084,23281
5153,268751,187201,747,130,309,21,472,1,0.164850686,0.164850686,0,0.285714286,0.285714286,0,4460211,449.9809322,95443,55840
5154,12381187,14231507,2676666,1005401,115867,17,29225,5,0.470608363,0.470614401,0,0,0,0,2338115,0.941222765,1674260,1586656
5155,318149,173662,820,164,368,21,482,1,0.116874136,0.16212211,0,0.238095238,0.238095238,0,3434702,339.3303695,116308,53357
5161,407195,139768,703,227,382,21,24,1,2.162698413,1.303571429,0,0.142857143,0.142857143,0,560519,1112.140873,112831,37744
5166,720549,340753,1356,327,699,22,452,1,0.144710378,0.144710378,0,0.272727273,0.272727273,0,516443,51.93513677,275857,111232
5169,1696252,537226,2099,1157,974,21,1125,1,0.097777778,0.097777778,0,0.19047619,0.19047619,0,1007556,42.64787302,354920,94532
5171,514216,327327,355,526,140,18,214,10,0,0,0.944444444,0,0,0,4068,0.105607477,191947,123236
5174,579836,322071,1258,259,734,22,454,1,0.146676011,0.189727673,0,0.318181818,0.318181818,0,841148,84.21585903,182009,89808
5178,239691,171458,1014,149,470,21,544,1,0.150210084,0.149947479,0,0.285714286,0.285714286,0,461658,40.4112395,21076,23148
5180,67676,66325,329,36,160,22,74,1,0.186732187,0.186732187,0,0.272727273,0.272727273,0,175030,107.512285,31025,26535
5204,82236,100177,461,39,211,24,81,1,0.265432099,0.29526749,0,0.375,0.375,0,490555,252.343107,37903,38739
5208,348870,294623,862,168,402,23,490,1,0.19689441,0.238243123,0,0.391304348,0.391304348,0,7242328,642.6200532,132723,93718
5210,73060,91922,470,99,263,22,24,1,0.988636364,0.873106061,0,0.409090909,0.409090909,0,327282,619.8522727,33319,34076
5225,2305455,140681,2024,4026,2053,17,3200,1,0.001176471,1.84E-05,0,0,0,0,65,0.001194853,419776,5343
5235,90696,107002,431,46,204,23,80,1,0.282065217,0.282065217,0,0.434782609,0.434782609,0,415566,225.851087,36998,39598
5236,2498482,320017,2455,16812,980,17,872,18,2.02E-04,1.35E-04,0.029749056,0.006535948,0,0,1005832,3.76953289,775738,60281
5239,73724,84950,449,39,231,22,78,1,0.241841492,0.241841492,0,0.363636364,0.363636364,0,220084,128.2540793,33144,33223
5243,2080093,3816205,30910,12816,1306,17,78,5,3.480392157,1.801659125,19.7745098,0.082352941,0.058823529,0,5276109797,795793.3329,623754,1096203
5256,34754,3449,25,20,23,17,89,2,0.01784534,0,0.001321877,0,0,0,56,0.018506279,16973,3961
5257,3779882,314688,1161,11390,1073,15,500,14,5.33E-04,5.33E-04,0.006533333,0,0,0,150,0.001428571,900620,17843
5260,78822,8362,663,57,319,17,125,5,0.012705882,0,0.006117647,0,0,0,148,0.013929412,26238,4946
5262,67857,87688,626,104,346,24,23,1,0.375,0.378623188,0,0.375,0.375,0,172202,311.9601449,29908,32744
5266,42391,63558,426,29,217,22,28,1,0.349025974,0.349025974,0,0.363636364,0.363636364,0,168546,273.6136364,21469,27222
5270,57736,70069,358,38,191,23,24,1,0.360507246,0.360507246,0,0.347826087,0.347826087,0,175219,317.4257246,29608,30524
5272,75378,60114,265,93,177,20,24,1,0.604166667,0.491666667,0,0.25,0.25,0,101188,210.8083333,30286,21893
5273,423325,247478,1612,181,763,22,378,1,0.148749399,0.191317941,0,0.318181818,0.318181818,0,867100,104.2688793,49152,36137
5280,419304,103368,207,774,113,17,93,51,0.058823529,0.058823529,0.039848197,0,0,0,6255,0.077575622,128932,26765
5292,276245,114977,2448,176,1142,19,337,1,0.114009058,0.114009058,0,0.210526316,0.210526316,0,272664,42.58378885,47659,23213
5306,393908,68454,157,421,100,19,118,18,0.002676182,0,0.077163247,0.005847953,0,0,103352,2.561007037,138859,22105
5309,291702,41332,102,271,76,18,102,18,0.001633987,0,0.089869281,0.00617284,0,0,46163,1.39684701,94139,11492
5318,17116,16174,80,13,43,19,13,1,0.206477733,0.206477733,0,0.105263158,0.105263158,0,13004,52.64777328,10982,9972
5329,1710842,1191080,3114,1284,1083,23,1125,1,0.222067633,0.222067633,0,0.434782609,0.434782609,0,4186620,161.8017391,360550,226178
5331,270276,230396,751,218,393,22,24,1,4.579545455,3.746212121,0,0.409090909,0.409090909,0,1262244,2390.613636,97177,71944
5335,65537,63239,417,45,197,21,85,1,0.18767507,0.18767507,0,0.285714286,0.285714286,0,191293,107.1669468,30583,25314
5352,561673,72833,235,965,135,16,206,18,0.001213592,3.03E-04,0.024575243,0.006944444,0,0,58020,0.977953074,176155,15863
